Legislation_ID,Old Date,New Date,Link,Citations,End Date,Comment
02008R0593-20080724,2008-07-24,2009-12-17,,12006E/PRO/05,,
02009R0906-20150425,2015-04-25,2010-04-26,,"32003R0001, 31986R4056, 32000R0823, 52008XC1021(01)",2024-04-25,Repealed
02011R1169-20140219,2014-02-19,2016-12-13,,"32007R1580, 32005L0029, 32011R0182, 31998L0034, 32002R0178, 31993R2454, 32004R0853, 31992R2913, 32004R0882, 31997R0258, 32000R0104, 32001L0110, 52008AE1519, 32000R1760, 32002R1019, 32006L0114, 32004R0852, 52007IP0377, 32009R1162",,
02013R0575-20150118,2015-01-18,2016-01-01,,"31995L0046, 31978L0660, 32011R0182, 31983L0349, 32011L0061, 32001R0045, 32013L0036, 31993L0006, 32000L0012, 32002R1606, 31986L0635, 32004L0039, 32010R1094, 32006L0048, 32009L0065, 32003H0361, 32011R1205, 32009D0937, 32009R1060, 32002L0087, 31994L0019, 32004D0010, 32009L0138, 32006L0049, 32009L0111, 32010R1093, 32010R1092, 32007L0064, 52012XX0619(01), 32008R1126, 32013Y0425(01)",,
02013R0952-20131030,2013-10-30,2016-05-01,,"32011R0182, 32008L0118, 31997R0515, 32006L0112, 32008D0070, 32005R0648, 31971R1182, 32009R1186, 32003D0231, 32009R0471",,
31989R4058,1989-12-30,1990-01-19,,31983R3568,,
32004R0549,,2004-04-20,,"32001Y0206(01), 31999D0468, 32004R0552, 32001R1049, 32004R0550, 32004R0551, 31998D0500",,
32008R1008,2008-10-31,2008-11-01,,,,
32009R0169,2009-03-05,2009-03-25,,,,
32009R0246,2009-03-25,2009-04-14,,,,
32009R1071,2009-11-14,2011-12-04,,"31978L0660, 31999D0468, 31985R3821, 32006L0022, 32006R0561, 31995L0047, 32009R1072, 32009R1073",,
32009R1186,2009-12-10,2010-01-01,,"32006L0112, 32007L0074",,
32010R0330,2010-04-23,2010-06-01,,"32003R0001, 31999R2790",2022-05-31,Repealed
32011R0305,2011-04-04,2013-07-01,,"32002R2342, 32000L0060, 32002R1605, 31999R1073, 31998L0034, 31995R2988, 32008L0098, 31996R2185, 31999D0468, 31998L0008, 32008D0768, 32003H0361, 32008R0765, 32006R1907, 32008R1272, 32008R0764",,
32014R0910,2014-08-28,2016-07-01,,"52012XC0221(01), 31995L0046, 32011R0182, 32001R0045, 32006L0123, 52013XX0130(02), 32010D0048, 32011D0130, 32008R0765, 32011L0024, 32014L0024, 32009D0767",,
32015R0909,2015-06-13,2015-08-01,,62010CJ0512,,
32016R0399,2016-03-23,2016-04-12,,"22008A0227(03), 12012P/TXT, 32008D0146, 22011A0618(01), 32001R0539, 32002D0192, 32011R0182, 21999A0710(02), 32000D0365, 31999D0437, 32011D0350, 32004L0038, 12012M/PRO/22, 32010R0439, 32004R2007, 32008R0767, 32002X1216(03), 12012E067, 12012E/PRO/22, 32002R1030, 31995R1683, 31991R3925, 32006R1987, 32008L0115, 12012M005, 12012E290, 42000A0922(04), 32009D0371, 42000A0922(02), 12012E072, 32002R0333, 32013R1053, 12012E020, 32007R0862, 12012E026, 12012E355",,
32016R0679,2016-05-04,2018-05-25,,"31993L0013, 12012E101, 12012P/TXT, 12012M/TXT, 32003L0098, 32011R0182, 32001R0045, 32002L0058, 32009R0223, 32001R1049, 32012R1215, 32008R1338, 12012P047, 32016L0680, 32003H0361, 32000L0031, 32014R0536, 52012XX0630(01), 32008R0765, 12012M005, 12012E290, 12012E102, 12012P008, 32011L0024, 12012E263, 52016AG0006(01), 32015L1535, 12012E267, 12012E017, 52012AE1303, 12012E338, 12012P011, 12012E179",,
32017R0352,2017-03-03,2019-03-24,,"12016P/TXT, 12016E/TXT, 52013AE4030, 32014L0023, 32012R0360, 32000L0059, 32001L0023, 52012DC0573, 32014L0025, 32013R1316, 32013R1315, 12016M/TXT, 32009L0016, 32014R0651, 32014L0024, 12016E349, 32006L0111, 32016R0679, 12016M005, 32012D0021, 52013AR3610, 52013DC0295",,
32017R2365,2017-12-19,2018-01-01,,"32014D0115, 22014A0307(01)",,
32018R0644,2018-05-02,2019-11-23,,"32011R0182, 12016E169, 12016P/TXT, 32016L0680, 32014R0910, 32003H0361, 12016M/PRO/26, 12016E014, 12016E/PRO/26, 31997L0067, 32016R0679, 12016M005, 32011L0083, 52016AE4454",,
32019R0452,2019-03-21,2020-10-11,,"12016E288, 32004R0139, 32016Q0512(01), 32013L0036, 32014L0065, 12016E065, 12016E/TXT, 12016M004, 21994A1223(01), 32015D0443, 12016E346, 12016M003, 32015D0444, 32009L0138, 12016E290, 12016E003, 32016R0679, 32009R0428, 42011A0708(01), 21994A1223(16), 52017AE5490, 52017IR5423, 32018R1725",,
32021R0654,2021-04-22,2021-07-01,,32009H0396,,
32021R1952,2021-11-11,2022-01-01,,"32014D0115, 21994A1223(21), 22014A0307(01)",,
32022R0612,2022-04-13,2023-06-01,,"32011R0182, 32002L0021, 12016P/TXT, 32002L0058, 32002L0020, 32010D0166, 12016E349, 32002L0022, 32002L0019, 12016M005, 32016R2286, 32016L2102, 32008D0294, 32018L1972, 32018R1725, 32019L0882, 32018R1971, 32021R0654, 52021AE1368",,
32022R1031,2022-06-30,2022-08-29,,"12016E026, 32002R2195, 32011R0182, 32016Q0512(01), 32001R1049, 12016E/TXT, 31989L0665, 32014L0023, 52016AE1578, 32015R1843, 21994A1223(03), 32014L0025, 12016M/TXT, 12016M021, 32014L0024, 32013R0952, 31992L0013, 31971D0306, 32012R0978, 12016M005, 32014R0654, 21994A1223(21), 21994A1223(16), 12016E206, 32018R1046, 32019R1780",,
