"CELEX_ID","Date"
"32024L0790",2024-02-28
"32024L3237",2024-12-19
"32024L0505",2024-02-07
"32024L1385",2024-05-14
"32024L0927",2024-03-13
"32024L1438",2024-05-14
"32024L1203",2024-04-11
"32024L0869",2024-03-13
"32024L0825",2024-02-28
"32024L1069",2024-04-11
"32024L1174",2024-04-11
"32024L0884",2024-03-13
"32024L1712",2024-06-13
"32024L0325",2024-01-19
"32024L2811",2024-10-23
"32024L2810",2024-10-23
"32024L1260",2024-04-24
"32024L1226",2024-04-24
"32024L1233",2024-04-24
"32024L1346",2024-05-14
"32024L1760",2024-06-13
"32024L1788",2024-06-13
"32024L1799",2024-06-13
"32024L1619",2024-05-31
"32024L1500",2024-05-14
"32024L1499",2024-05-07
"32024L1654",2024-05-31
"32024L2841",2024-10-23
"32024L2842",2024-10-23
"32024L2831",2024-10-23
"32024L1785",2024-04-24
"32024L1265",2024-04-29
"32024L1275",2024-04-24
"32024L1640",2024-05-31
"32024L2749",2024-10-09
"32024L2823",2024-10-23
"32024L0782",2024-03-04
"32024L1711",2024-06-13
"32024L2808",2024-10-23
"32024L0846",2024-03-14
"32024L1306",2024-04-29
"32024L1416",2024-03-13
"32024L2839",2024-10-23
"32024L1986",2024-05-06
"32025L0050",2024-12-10
"32025L0001",2024-11-27
"32025L0002",2024-11-27
"32025L0025",2024-12-19
"32024L3019",2024-11-27
"32024L3017",2024-11-27
"32024L3101",2024-11-27
"32024L3099",2024-11-27
"32024L3100",2024-11-27
"32025L0425",2025-02-18
"32024L2853",2024-10-23
"32024L2994",2024-11-27
"32025L0290",2024-10-04
"32024L3010",2024-11-29
"32025L0145",2025-01-29
"32024L1405",2024-03-14
"32024L1262",2024-03-13
"32024L2963",2024-11-29
"32025L0149",2024-11-15
"32024L2881",2024-10-23
